2013 rank,City,State,2013 estimate,2010 Census,Change,2013 land area,2013 population density,Location
190,Bellevue,Washington,133992,122363,0.095,32.0æsqæmi,"3,828æperæsqæmi",47.5978ÁN 122.1565ÁW
191,West Valley City,Utah,133579,129480,0.0317,35.6æsqæmi,"3,642æperæsqæmi",40.6885ÁN 112.0118ÁW
192,Columbia,South Carolina,133358,129272,0.0316,132.2æsqæmi,978æperæsqæmi,34.0298ÁN 80.8966ÁW
193,Olathe,Kansas,131885,125872,0.0478,59.7æsqæmi,"2,110æperæsqæmi",38.8843ÁN 94.8188ÁW
194,Sterling Heights,Michigan,131224,129699,0.0118,36.5æsqæmi,"3,553æperæsqæmi",42.5812ÁN 83.0303ÁW
195,New Haven,Connecticut,130660,129779,0.0068,18.7æsqæmi,"6,948æperæsqæmi",41.3108ÁN 72.9250ÁW
196,Miramar,Florida,130288,122041,0.0676,29.5æsqæmi,"4,134æperæsqæmi",25.9770ÁN 80.3358ÁW
197,Waco,Texas,129030,124805,0.0339,89.0æsqæmi,"1,403æperæsqæmi",31.5601ÁN 97.1860ÁW
198,Thousand Oaks,California,128731,126683,0.0162,55.0æsqæmi,"2,302æperæsqæmi",34.1933ÁN 118.8742ÁW
199,Cedar Rapids,Iowa,128429,126326,0.0166,70.8æsqæmi,"1,784æperæsqæmi",41.9670ÁN 91.6778ÁW
200,Charleston,South Carolina,127999,120083,0.0659,109.0æsqæmi,"1,102æperæsqæmi",32.8179ÁN 79.9589ÁW
201,Visalia,California,127763,124442,0.0267,36.2æsqæmi,"3,433æperæsqæmi",36.3272ÁN 119.3234ÁW
202,Topeka,Kansas,127679,127473,0.0016,60.2æsqæmi,"2,119æperæsqæmi",39.0362ÁN 95.6948ÁW
203,Elizabeth,New Jersey,127558,124969,0.0207,12.3æsqæmi,"10,144æperæsqæmi",40.6663ÁN 74.1935ÁW
204,Gainesville,Florida,127488,124354,0.0252,61.3æsqæmi,"2,028æperæsqæmi",29.6788ÁN 82.3459ÁW
205,Thornton,Colorado,127359,118772,0.0723,34.8æsqæmi,"3,409æperæsqæmi",39.9180ÁN 104.9454ÁW
206,Roseville,California,127035,118788,0.0694,36.2æsqæmi,"3,279æperæsqæmi",38.7657ÁN 121.3032ÁW
207,Carrollton,Texas,126700,119097,0.0638,36.3æsqæmi,"3,281æperæsqæmi",32.9884ÁN 96.8998ÁW
208,Coral Springs,Florida,126604,121096,0.0455,23.8æsqæmi,"5,090æperæsqæmi",26.2708ÁN 80.2593ÁW
209,Stamford,Connecticut,126456,122643,0.0311,37.6æsqæmi,"3,258æperæsqæmi",41.0799ÁN 73.5460ÁW
210,Simi Valley,California,126181,124237,0.0156,41.5æsqæmi,"2,995æperæsqæmi",34.2669ÁN 118.7485ÁW
211,Concord,California,125880,122067,0.0312,30.5æsqæmi,"3,996æperæsqæmi",37.9722ÁN 122.0016ÁW
212,Hartford,Connecticut,125017,124775,0.0019,17.4æsqæmi,"7,179æperæsqæmi",41.7660ÁN 72.6833ÁW
213,Kent,Washington,124435,92411,0.3465,28.6æsqæmi,"3,228æperæsqæmi",47.3853ÁN 122.2169ÁW
